Module,Mode,EDI?,TIMESTAMP,Alert / Email,Problem Statements,Solution,SOP
Container Booking,Email,No,1/29/2025 7:50,"Subject: Email ALR-281043 | Container HLCU3901434 exception reported at PSA Pasir Panjang

Dear Team,

Discrepancy between customer portal and TOS for container HLCU3901434 on voyage ZX77. Portal shows 'Loaded @ TU11' while TOS indicates 'In Yard - Block J4'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-LK8AGS6E and seal S5264-ZHW included (randomized placeholders). Yard crane YC24 handled the last move at Tuas Port.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","Discrepancy between customer portal and TOS for container HLCU3901434 on voyage ZX77. Portal shows 'Loaded @ TU11' while TOS indicates 'In Yard - Block J4'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-LK8AGS6E and seal S5264-ZHW included (randomized placeholders). Yard crane YC24 handled the last move at Tuas Port.",Ran cross-system compare and forced cache invalidation. Re-ordered events by eventTime; replayed 'Yard Move Completed'. Corrected size/type to manifest truth and locked the attribute for 6 hours. Published reconciliation summary with sanitized diffs.,CNTR: Discrepancy between customer portal and TOS for CONTAINER_ID on voyage VA61 
Vessel,Call,No,2/5/2025 20:07,"Call TCK-628206 | Vessel MV SILVER CURRENT/7A exception at PSA Tanjong Pagar | Issue: ETA/ETB mismatch for MV SILVER CURRENT (IMO 8109603, CS-JM7B1) on voyage 7A. Berth plan shows ETB at TU11 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Tanjong Pagar reflects older figures. Pilotage request pending; quay Q3 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.","ETA/ETB mismatch for MV SILVER CURRENT (IMO 8109603, CS-JM7B1) on voyage 7A. Berth plan shows ETB at TU11 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Tanjong Pagar reflects older figures. Pilotage request pending; quay Q3 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.",Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable.,VSL: ETA/ETB mismatch for VESSEL_ID on VOYAGE_ID 
Vessel,SMS,No,7/3/2025 23:26,"Alert: SMS TCK-994694 | Issue: ETA/ETB mismatch for MV EASTERN STAR (IMO 3413656, CS-OBAKI) on voyage 19E. Berth plan shows ETB at . Please check immediately.","ETA/ETB mismatch for MV EASTERN STAR (IMO 3413656, CS-OBAKI) on voyage 19E. Berth plan shows ETB at BP07 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Pasir Panjang reflects older figures. Pilotage request pending; quay Q1 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.",Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable.,
Vessel,Email,No,1/2/2025 16:46,"Subject: Email TCK-936630 | Vessel MV CORAL WAVE/25W exception at PSA Tanjong Pagar

Dear Team,

ETA/ETB mismatch for MV CORAL WAVE (IMO 6345416, CS-8YSWY) on voyage 25W. Berth plan shows ETB at TU11 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Tanjong Pagar reflects older figures. Pilotage request pending; quay Q5 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","ETA/ETB mismatch for MV CORAL WAVE (IMO 6345416, CS-8YSWY) on voyage 25W. Berth plan shows ETB at TU11 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Tanjong Pagar reflects older figures. Pilotage request pending; quay Q5 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.",Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable.,VSL: ETA/ETB mismatch for VESSEL_ID on voyage VOYAGE_ID 
Container Report,Email,Yes,7/5/2025 3:40,"Subject: Email TCK-870899 | Container MSCU5165395 exception reported at PSA Pasir Panjang

Dear Team,

504 responses and timeouts on '/auth/token' when querying MSCU5165395. slowest 5% of requests latency > 10s; retries exhausted gaps visible in customer timeline. Coincides with partner load test near PSA Pasir Panjang.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",504 responses and timeouts on '/auth/token' when querying MSCU5165395. slowest 5% of requests latency > 10s; retries exhausted—gaps visible in customer timeline. Coincides with partner load test near PSA Pasir Panjang.,Escalate to Container Product Team,
Vessel,SMS,No,9/11/2025 16:27,"Alert: SMS INC-658463 | Issue:System failed to update the arrival data for MV TITAN CREST/7A, causing a missed ETB TU11 slot and disruption in crane sequencing at PSA Keppel.","The vessel’s updated schedule was not properly reflected in the port’s scheduling system, causing misalignment between ETA data and the berth window.","A weather diversion workflow was triggered within the system, prompting automatic adjustments to the berth windows and crane schedules based on the updated vessel ETA. The system ensured real-time communication with stakeholders, keeping them informed of the changes.",VSL: System failure to update vessel arrival times leading to missed ETB.
EDI/API,SMS,Yes,3/14/2025 19:50,Alert: SMS TCK-800470 | Issue: Intermittent 504 on '/containers/search' during webhook deliveries to Partner-E. slowest 5% of requests latency > 12s t. Please check immediately.,"Intermittent 504 on '/containers/search' during webhook deliveries to Partner-E. slowest 5% of requests latency > 12s triggered breaker; retries hit max; delivery backlog observed. Downstream customer timeline showed gaps; Tuas Port ops unaffected but visibility degraded. Context tokens: MANIFEST, GSL. All numeric identifiers are randomized placeholders; no credentials stored.",Introduced per-partner rate shaping; added idempotency keys for webhook retries; validated TLS and cipher compatibility; published sanitized RCA. Communications used masked ticket references where applicable.,VSL: Schedule API intermittently returns 504 for VESSEL_ID; slowest 5% of requests latency > 12s 
Container Report,SMS,No,7/16/2025 16:28,"Alert: SMS TCK-854024 | Issue: Gate OCR misread the ID for container HLCU9389366, triggering a lane hold. Seal S9802-OE9 was verified but still didn’t match the manifest data, causing a dispatch delay. The container was queued at lane 3 in PSA Keppel.","OCR system failed to correctly identify the container ID, which led to discrepancies with the manifest data and delayed the dispatch.","Manual verification was conducted in accordance with CNTR-03 (EDI 214/315 Event Reprocessing). The OCR read was corrected, and the data was sent for manual validation for 24 hours. A retraining of the OCR system was carried out using low-light sample data. An operational bulletin was issued to ensure future accuracy.",
Container Booking,SMS,Yes,5/24/2025 0:58,"Alert: SMS INC-777406 | Issue: Customs flag toggled incorrectly for NYKU8351396, causing manual hold. Downstream feeds showed 'Hold. Please check immediately.","Customs flag toggled incorrectly for NYKU8351396, causing manual hold. Downstream feeds showed 'Hold' while TOS remained 'Available' at Tuas Port.",Reconciled customs flag; locked status to TOS for 4h; added dual-confirmation safeguard; published sanitized summary.,
Vessel,SMS,No,1/3/2025 8:21,Alert: SMS TCK-945643 | Issue: Schedule API intermittently returns 500 for MV PACIFIC GLORY/43C; slowest 5% of requests latency > 12s. External subscr. Please check immediately.,Schedule API intermittently returns 500 for MV PACIFIC GLORY/43C; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at Pasir Panjang Terminal 2. All numeric identifiers are randomized placeholders; no credentials stored.,Escalate to Vessel Product Team,
Vessel,Call,No,4/8/2025 15:54,"Call ALR-363878 | Vessel MV OCEAN DAWN/7A exception at PSA Keppel | Issue: ETA/ETB mismatch for MV OCEAN DAWN (IMO 8371871, CS-IIF5U) on voyage 7A. Berth plan shows ETB at BP07 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Keppel reflects older figures. Pilotage request pending; quay Q2 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.","ETA/ETB mismatch for MV OCEAN DAWN (IMO 8371871, CS-IIF5U) on voyage 7A. Berth plan shows ETB at BP07 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Keppel reflects older figures. Pilotage request pending; quay Q2 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.",Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable.,
Vessel,Email,Yes,7/12/2025 12:56,"Subject: Email TCK-301013 | Vessel MV SEA HORIZON/7A exception at Pasir Panjang Terminal 2

Dear Team,

EDIFACT COARRI inconsistency for MV SEA HORIZON/7A: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","EDIFACT COARRI inconsistency for MV SEA HORIZON/7A: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored.",Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable.,"VSL: BAPLIE inconsistency for VESSEL_ID: COARRI shows discharge completed for bay BAY_NUMBER, but BAPLIE still lists units in those slots. Older timestamp regressed the plan."
Vessel,Call,No,7/8/2025 15:42,Call TCK-306840 | Vessel MV AURORA BAY/25W exception at Pasir Panjang Terminal 2 | Issue: Schedule API intermittently returns 500 for MV AURORA BAY/25W; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at Pasir Panjang Terminal 2. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.,Schedule API intermittently returns 500 for MV AURORA BAY/25W; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at Pasir Panjang Terminal 2. All numeric identifiers are randomized placeholders; no credentials stored.,"Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable.",VSL: Vessel API Timeout & Retry
Vessel,SMS,Yes,8/10/2025 7:16,"Alert: SMS TCK-182853 | Issue: BAPLIE inconsistency for MV SEA HORIZON/7A: COARRI shows discharge completed for bay 22, but BAPLIE . Please check immediately.","BAPLIE inconsistency for MV SEA HORIZON/7A: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored.",Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable.,VSL: BAPLIE inconsistency for VESSEL_ID: COARRI shows discharge completed for bay BAY_NUMBER 
Container Booking,SMS,No,5/24/2025 6:06,Alert: SMS ALR-294776 | Issue: Weight and size attributes for HLCU1164933 do not align with manifest data. OMS lists 22G1 whereas t. Please check immediately.,Weight and size attributes for HLCU1164933 do not align with manifest data. OMS lists 22G1 whereas the EDI intake translated to 45R1—slot planning at Tuas Port misallocated. Voyage AF12; last known location Block F6. Suspect duplicate CODECO from yesterday caused field overwrite.,Fixed API mapping for party roles and flushed CDN. Repaired affected records (voyage AF12); set monitors for attribute flip-flop bursts. All identifiers are randomized placeholders.,
Vessel,Email,No,9/22/2025 3:07,"Subject: Email INC-546420 | Vessel MV BLUE ORBIT/002E exception at PSA Tanjong Pagar

Dear Team,

ETA/ETB mismatch for MV BLUE ORBIT (IMO 2975198, CS-OQ42X) on voyage 002E. Berth plan shows ETB at BP01 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Tanjong Pagar reflects older figures. Pilotage request pending; quay Q3 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","ETA/ETB mismatch for MV BLUE ORBIT (IMO 2975198, CS-OQ42X) on voyage 002E. Berth plan shows ETB at BP01 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Tanjong Pagar reflects older figures. Pilotage request pending; quay Q3 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.",Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable.,
Vessel,Call,No,8/18/2025 20:31,"Call TCK-889566 | Vessel MV TITAN CREST/105N exception at PSA Tanjong Pagar | Issue: System failed to process weather-related delays for MV TITAN CREST/105N, resulting in a missed ETB BP03 slot and delayed crane sequencing at PSA Tanjong Pagar.","The system did not properly adjust for weather-related delays, causing the vessel’s ETA to be outdated and leading to missed berth slots.",A manual update was made to the vessel’s ETA in the scheduling system. Future weather-related delays were integrated into the system for automatic adjustments to ETAs and berth scheduling.,SL: Pilotage delay due to weather; VESSEL_ID missed ETB LOCATION slot
EDI/API,SMS,Yes,6/21/2025 4:52,Alert: SMS TCK-771261 | Issue: Rate limiter throttled legitimate traffic after load surge. Hot keys on '/edi/status' created cache . Please check immediately.,Rate limiter throttled legitimate traffic after load surge. Hot keys on '/edi/status' created cache stampede; error budget burned for the window. All numeric identifiers are randomized placeholders; no credentials stored.,"Rate limiter throttled legitimate traffic after load surge. Hot keys on '/containers/search' created cache stampede; error budget burned for the window. Context tokens: EDIFACT. All numeric identifiers are randomized placeholders; no credentials stored.', the resolution involves optimizing the system parameters and adjusting configurations to resolve the conflict.",
Container Booking,Call,No,7/13/2025 17:03,"Call ALR-515011 | Container CMAU2070304 exception reported at PSA Tanjong Pagar | Issue: Discrepancy between customer portal and TOS for container CMAU2070304 on voyage V001. Portal shows 'Loaded @ BP02' while TOS indicates 'In Yard - Block J4'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-CC5O7UUB and seal S2343-PVS included (randomized placeholders). Yard crane QC13 handled the last move at PSA Tanjong Pagar.. Please investigate and resolve urgently. Contact the relevant team if needed.","Discrepancy between customer portal and TOS for container CMAU2070304 on voyage V001. Portal shows 'Loaded @ BP02' while TOS indicates 'In Yard - Block J4'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-CC5O7UUB and seal S2343-PVS included (randomized placeholders). Yard crane QC13 handled the last move at PSA Tanjong Pagar.",Fixed API mapping for party roles and flushed CDN. Repaired affected records (voyage V001); set monitors for attribute flip-flop bursts. All identifiers are randomized placeholders.,CNTR: Discrepancy between customer portal and TOS for container CM 
EDI/API,Call,Yes,3/3/2025 16:55,"Subject: SPIRIT OF BERTRAM / 0ZN65W1MA - MISSING TLI | CS0057455/L

Dear Team,

Hi Team,
Could I check if there is any additional cost incurred for the TLI declaration?

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","Field mapping mismatch across systems for container ONEU0541993. Partner Partner-A posted ANSI X12 214 with size/type as 22G1, but our master lists 45R1. Public API reflected partner payload, breaking yard slotting at PSA Pasir Panjang. Booking BK-8ARXA6YI shows reefer flag OFF while TOS maintains ON. Audit indicates stale backfill job re-applied older attributes. All numeric identifiers are randomized placeholders; no credentials stored.",Escalate to EDIAPI Product Team,
Container Report,Email,No,3/8/2025 11:58,"Subject: Email INC-5847124 | TLI Status CS0050188

Dear Team,

Hi Team, Able to advice as user inform unable to find the EBP status in container report

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",The user is unable to find the EBP (Electronic Booking Process) status in the container report for TLI Status CS0050188. The user is requesting assistance to locate this status.,"1.There is no EBP status in Container Report. 
2.Ask customer what is their purpose? They can check VEM if they want to check TLI vs ABP discrepancy.",
EDI/API,SMS,Yes,4/21/2025 12:39,Alert: SMS ALR-576464 | Issue: Unexpected qualifier 'DL' in EQD segment from Partner-C; schema validation failed; containers in the. Please check immediately.,Unexpected qualifier 'DL' in EQD segment from Partner-C; schema validation failed; containers in the message not reflected on the portal timeline. All numeric identifiers are randomized placeholders; no credentials stored.,Enabled conflict resolution preferring max(eventTime); patched translator for partner-specific tolerance; reprocessed from quarantine; verified pipeline end-to-end. Communications used masked ticket references where applicable.,
EDI/API,Email,Yes,4/8/2025 17:06,"Subject: Email INC-471568 | API Failure on /edi/status impacting partner traffic

Dear Team,

Intermittent 504 on '/edi/status' during webhook deliveries to Partner-A. slowest 5% of requests latency > 12s triggered breaker; retries hit max; delivery backlog observed. Downstream customer timeline showed gaps; Tuas Port ops unaffected but visibility degraded. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",Intermittent 504 on '/edi/status' during webhook deliveries to Partner-A. slowest 5% of requests latency > 12s triggered breaker; retries hit max; delivery backlog observed. Downstream customer timeline showed gaps; Tuas Port ops unaffected but visibility degraded. All numeric identifiers are randomized placeholders; no credentials stored.,Introduced per-partner rate shaping; added idempotency keys for webhook retries; validated TLS and cipher compatibility; published sanitized RCA. Communications used masked ticket references where applicable.,
Vessel,SMS,No,7/7/2025 22:25,Alert: SMS TCK-754234 | Issue: Schedule API intermittently returns 429 for MV PACIFIC GLORY/105N; slowest 5% of requests latency > 12s. External subsc. Please check immediately.,Schedule API intermittently returns 429 for MV PACIFIC GLORY/105N; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at Pasir Panjang Terminal 2. All numeric identifiers are randomized placeholders; no credentials stored.,"Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable.",
Container Report,Call,No,9/10/2025 19:38,Call INC-882354 | Container ONEU8986609 exception reported at PSA Pasir Panjang | Issue: 502 responses and timeouts on '/events/subscribe' when querying ONEU8986609. slowest 5% of requests latency > 10s; retries exhausted gaps visible in customer timeline. Coincides with partner load test near Tuas Port.. Please investigate and resolve urgently. Contact the relevant team if needed.,502 responses and timeouts on '/events/subscribe' when querying ONEU8986609. slowest 5% of requests latency > 10s; retries exhausted—gaps visible in customer timeline. Coincides with partner load test near Tuas Port.,Escalate to Container Product Team,
EDI/API,Email,Yes,3/12/2025 15:01,"Subject: Email ALR-247544 | EDI Parsing Issue on BAPLIE (translator quarantine)

Dear Team,

BAPLIE duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression. Context tokens: CMA. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",BAPLIE duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression. Context tokens: CMA. All numeric identifiers are randomized placeholders; no credentials stored.,"Added de-duplication keyed by (controlNumber, docType, equipmentId, eventType); instated rule to discard stale duplicates; replayed healthy messages. Communications used masked ticket references where applicable.",
Container Booking,Email,No,4/10/2025 1:11,"Subject: Email ALR-782139 | Container CMAU9096728 exception reported at Pasir Panjang Terminal 2

Dear Team,

Discrepancy between customer portal and TOS for container CMAU9096728 on voyage BT21. Portal shows 'Loaded @ BP03' while TOS indicates 'In Yard - Block E5'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-WVIYTWBO and seal S8739-D1A included (randomized placeholders). Yard crane QC11 handled the last move at Tuas Port.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","Discrepancy between customer portal and TOS for container CMAU9096728 on voyage BT21. Portal shows 'Loaded @ BP03' while TOS indicates 'In Yard - Block E5'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-WVIYTWBO and seal S8739-D1A included (randomized placeholders). Yard crane QC11 handled the last move at Tuas Port.","Discrepancy between customer portal and TOS for container CMAU9096728 on voyage BT21. Portal shows 'Loaded @ BP03' while TOS indicates 'In Yard - Block E5'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-WVIYTWBO and seal S8739-D1A included (randomized placeholders). Yard crane QC11 handled the last move at Tuas Port.': Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference.",
Container Report,Call,Yes,9/8/2025 20:13,Call TCK-338596 | Container CMAU4031438 exception reported at Tuas Port | Issue: Inbound EDIFACT IFTSTA failed schema validation: unexpected qualifier in EQD for CMAU4031438. Downstream event not created; timeline incomplete.. Please investigate and resolve urgently. Contact the relevant team if needed.,Inbound EDIFACT IFTSTA failed schema validation: unexpected qualifier in EQD for CMAU4031438. Downstream event not created; timeline incomplete.,Enabled conflict resolution preferring max(eventTime); replayed from quarantine; validated against TOS/warehouse scans; added anomaly detection for >30m skews.,CNTR: Inbound EDIFACT IFTSTA failed schema validation: unexpected qualifier in EQD for CONTAINER_ID 
Container Report,Email,No,5/18/2025 15:45,"Subject: Email TCK-144618 | Container MSCU2809604 exception reported at PSA Pasir Panjang

Dear Team,

Reefer MSCU2809604 telemetry gap. Temperature feed offline briefly; backfill later within acceptable range. Yard block A1, handled by QC07.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","Reefer MSCU2809604 telemetry gap. Temperature feed offline briefly; backfill later within acceptable range. Yard block A1, handled by QC07.",Escalate to Container Product Team,
Vessel,Email,No,3/4/2025 15:59,"Subject: Email TCK-144717 | Vessel MV AURORA BAY/25W exception at PSA Tanjong Pagar

Dear Team,

Schedule API intermittently returns 500 for MV AURORA BAY/25W; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at PSA Tanjong Pagar. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",Schedule API intermittently returns 500 for MV AURORA BAY/25W; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at PSA Tanjong Pagar. All numeric identifiers are randomized placeholders; no credentials stored.,"Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable.",
Vessel,Email,Yes,2/3/2025 7:12,"Subject: Email INC-402340 | Vessel MV TITAN CREST/25W exception at Tuas Port

Dear Team,

EDIFACT COPRAR inconsistency for MV TITAN CREST/25W: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","EDIFACT COPRAR inconsistency for MV TITAN CREST/25W: COARRI shows discharge completed for bay 22, but BAPLIE still lists units in those slots. Older timestamp regressed the plan. All numeric identifiers are randomized placeholders; no credentials stored.",Enabled conflict resolution preferring max(eventTime); reprocessed from quarantine; verified stowage/discharge alignment across systems. Communications used masked ticket references where applicable.,VSL: EDIFACT COPRAR inconsistency for VESSEL_ID: COARRI shows discharge completed for bay BAY_NUMBER
EDI/API,SMS,Yes,8/30/2025 9:13,Alert: SMS ALR-525225 | Issue: ANSI X12 315 duplicate detected with conflicting control numbers; later message had older eventTime.. Please check immediately.,ANSI X12 315 duplicate detected with conflicting control numbers; later message had older eventTime. Quarantine spiked; publish paused to avoid regression. All numeric identifiers are randomized placeholders; no credentials stored.,Escalate to EDIAPI Product Team,
EDI/API,SMS,Yes,4/26/2025 2:57,"Alert: SMS ALR-888248 | Issue: Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-A, while TOS computed loc. Please check immediately.","Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-A, while TOS computed local UTC+8. Container HLCU0786400 milestones appeared out-of-order on the portal; BAPLIE 'Gate Out' overshadowed later 'Loaded' event. Booking BK-WITJFK0R not impacted operationally but customer view inconsistent. Context tokens: XSIE, ETA. All numeric identifiers are randomized placeholders; no credentials stored.","Set precedence to TOS for equipment attributes; forced cache purge and re-index. Backfilled corrected attributes, then locked fields for 6h to prevent drift. Added rule to reject backdated EDI updates if newer move exists within 120 minutes. Communications used masked ticket references where applicable.","EDI: Time zone drift caused eventTime to serialize in UTC+0 for partner PARTNER_ID, while TOS computed local UTC+8. "
EDI/API,SMS,Yes,4/30/2025 4:40,Alert: SMS TCK-604865 | Issue: Translator rejected ANSI X12 301: missing BGM count alignment (UNH/UNT mismatch). Partner Partner-B . Please check immediately.,Translator rejected ANSI X12 301: missing BGM count alignment (UNH/UNT mismatch). Partner Partner-B interchange quarantined; downstream milestone not created. All numeric identifiers are randomized placeholders; no credentials stored.,"Added de-duplication keyed by (controlNumber, docType, equipmentId, eventType); instated rule to discard stale duplicates; replayed healthy messages. Communications used masked ticket references where applicable.",EDI: Translator rejected ANSI X12 301: missing BGM count alignment (UNH/UNT mismatch) 
Container Booking,Call,No,1/25/2025 10:21,"Call TCK-267753 | Container EITU2370884 exception reported at PSA Tanjong Pagar | Issue: Discrepancy between customer portal and TOS for container EITU2370884 on voyage VA61. Portal shows 'Loaded @ BP05' while TOS indicates 'In Yard - Block F6'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-O6QJIUJV and seal S7543-N9E included (randomized placeholders). Yard crane YC26 handled the last move at PSA Tanjong Pagar.. Please investigate and resolve urgently. Contact the relevant team if needed.","Discrepancy between customer portal and TOS for container EITU2370884 on voyage VA61. Portal shows 'Loaded @ BP05' while TOS indicates 'In Yard - Block F6'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-O6QJIUJV and seal S7543-N9E included (randomized placeholders). Yard crane YC26 handled the last move at PSA Tanjong Pagar.",Ran cross-system compare and forced cache invalidation. Re-ordered events by eventTime; replayed 'Yard Move Completed'. Corrected size/type to manifest truth and locked the attribute for 6 hours. Published reconciliation summary with sanitized diffs.,CNTR: Discrepancy between customer portal and TOS for CONTAINER_ID on voyage VA61 
Container Booking,Email,No,8/3/2025 23:53,"Subject: Email ALR-293319 | Container MSCU3796172 exception reported at Pasir Panjang Terminal 2

Dear Team,

Mismatched shipment party codes for MSCU3796172. Shipper/consignee swapped after a backfill job. Customer raised billing risk; TOS remains accurate but public API cached the wrong roles. Affected terminal: Tuas Port; booking BK-KMKZEBBK.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",Mismatched shipment party codes for MSCU3796172. Shipper/consignee swapped after a backfill job. Customer raised billing risk; TOS remains accurate but public API cached the wrong roles. Affected terminal: Tuas Port; booking BK-KMKZEBBK.,Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference.,CNTR: Mismatched shipment party codes for CONTAINER_ID 
EDI/API,SMS,Yes,9/7/2025 22:52,Alert: SMS TCK-154178 | Issue: Rate limiter throttled legitimate traffic after load surge. Hot keys on '/webhooks/delivery/5WLC7R' . Please check immediately.,Rate limiter throttled legitimate traffic after load surge. Hot keys on '/webhooks/delivery/5WLC7R' created cache stampede; error budget burned for the window. All numeric identifiers are randomized placeholders; no credentials stored.,Introduced per-partner rate shaping; added idempotency keys for webhook retries; validated TLS and cipher compatibility; published sanitized RCA. Communications used masked ticket references where applicable.,API: Rate limiter throttled legitimate traffic after load surge
